#61554	#61554	['#61554' 'trauma' 'traumatic' '#90995' '#61615']	5
#74905	#74905	['#74905' '#77432' '#73937' '#90843' '#66294']	5
dismissed	dismissed	['dismissed' '#86076' 'demoralize' '#92075' 'pension off']	5
#81992	#81992	['#81992' '#82077' 'resulting' '#25077' '#76819']	5
#95546	#95546	['#95546' 'compulsory' 'transparent' 'choice' 'free']	5
full board	full board	['full board' 'dining room' 'half board' '#15459' '#15585']	5
#178808	#178808	['#178808' 'unforeseeable' 'rescinding' 'change of direction' 'redolent']	5
sprinkle	sprinkle	['sprinkle' 'circumference' '#92072' 'porridge' 'noodle']	5
ladder	ladder	['ladder' '#17606' 'move up' '#74651' 'climb']	5
philosophy	philosophy	['philosophy' '#27373' 'paradigm' 'thinking' '#192343']	5
freedom of assembly	freedom of assembly	['freedom of assembly' '#25036' 'freedom of speech' '#25035'
 'freedom of the press']	5
#37102	#37102	['#37102' 'soft drink' '#94104' 'carbonated' 'beer']	5
#73905	#73905	['#73905' 'afflict' 'ravage' 'calamity' '#67701']	5
federal state	federal state	['federal state' 'autonomous community' '#325698' 'legislative power'
 '#317419']	5
ethnic	ethnic	['ethnic' 'religious' '#151068' 'religion' '#32792']	5
#81290	#81290	['#81290' 'relational' 'affective' '#86025' '#137114']	5
pro se	pro se	['pro se' 'investigating magistrate' '#84097' 'state attorney'
 'defense lawyer']	5
supersonic	supersonic	['supersonic' '#82306' 'perforate' 'hot weather' 'curvature']	5
#124749	#124749	['#124749' 'first-born' '#45138' 'triplet' 'eldest']	5
toughening	toughening	['toughening' '#58234' '#193161' 'tightening' 'transculturation']	5
manganese	manganese	['manganese' '#161030' 'molybdenum' 'rare earth' '#142483']	5
question mark	question mark	['question mark' '#31458' 'heat up' 'presage' 'fall apart']	5
#31121	#31121	['#31121' 'written agreement' '#46546' '#57054' 'payee']	5
#157436	#157436	['#157436' 'subsidiarity' '#60317' '#76487' 'decentralisation']	5
astronomical	astronomical	['astronomical' '#96306' '#43772' 'telescope' 'astronomy']	5
ensnare	ensnare	['ensnare' 'entrap' '#72508' '#84992' 'fantasy']	5
#37652	#37652	['#37652' '#45138' '#76187' 'stepmother' 'grandson']	5
#119246	#119246	['#119246' '#132689' '#156592' 'basalt' '#133972']	5
#98747	#98747	['#98747' 'metallurgical' '#28597' 'metallurgy' 'metallurgic']	5
#323809	#323809	['#323809' 'apprehended violence order' 'attaint' 'fashion model'
 'marriage proposal']	5
lf	lf	['lf' '#86506' 'labor force' 'part-time worker' 'real wage']	5
#23676	#23676	['#23676' 'voraciousness' '#93073' 'voracity' 'rapacious']	5
destroyer	destroyer	['destroyer' '#44707' '#12808' 'starboard' '#13729']	5
personal	personal	['personal' 'enjoy' 'marriage' 'origin' 'prohibition']	5
#17219	#17219	['#17219' 'hull' 'propeller' 'sunken' '#19450']	5
poetic	poetic	['poetic' '#97384' 'humour' '#25139' 'genius']	5
writing	writing	['writing' 'edit' '#73491' 'printed' '#94158']	5
#87648	#87648	['#87648' '#75537' 'shake off' '#115004' '#69899']	5
dedicate	dedicate	['dedicate' 'celebration' 'celebrate' 'spiritual' '#163347']	5
mod.	mod.	['mod.' 'cal.' 'turret' '#19234' '#14601']	5
#43209	#43209	['#43209' '#32089' '#43405' '#122065' 'second language']	5
#85332	#85332	['#85332' 'symbiotic' 'microbe' 'natural world' 'epistemology']	5
generously	generously	['generously' '#192693' '#87511' 'generous' '#69223']	5
television viewer	television viewer	['television viewer' '#199840' '#268438' 'viewer' 'radio listener']	5
#43203	#43203	['#43203' '#98021' '#43212' '#43367' '#98020']	5
#28230	#28230	['#28230' 'mathematics' 'social science' '#28643' 'tertiary education']	5
#77911	#77911	['#77911' 'counterproductive' '#172854' '#77553' 'positive action']	5
ambition	ambition	['ambition' 'dream' '#23439' '#81884' 'noble']	5
interrupt	interrupt	['interrupt' 'interruption' 'disrupt' 'prolong' '#126093']	5
#119149	#119149	['#119149' 'molecular weight' '#64319' 'ethane' '#65128']	5
#28389	#28389	['#28389' 'orthodontics' 'orthopaedics' 'ophthalmic' '#28428']	5
#38512	#38512	['#38512' '#38497' 'intelligence' 'intelligence service' 'security agency']	5
#139244	#139244	['#139244' 'photo session' 'fancy' '#67913' 'unfurl']	5
#4009	#4009	['#4009' '#186770' 'machine-gun fire' 'open sea' '#67340']	5
nitric acid	nitric acid	['nitric acid' '#63522' 'sodium hydroxide' '#64724' '#65128']	5
#67745	#67745	['#67745' 'disintegrate' 'archetype' 'stochastic' '#167277']	5
#172542	#172542	['#172542' 'go off' 'luckily' 'snuff out' 'cheer']	5
#60344	#60344	['#60344' 'stable' '#44372' '#75216' 'presence']	5
psychiatric hospital	psychiatric hospital	['psychiatric hospital' 'mental hospital' 'psychiatric' '#97706' '#45651']	5
pantry	pantry	['pantry' '#18838' '#919' '#34812' '#37456']	5
federal territory	federal territory	['federal territory' '#326942' '#30106' 'attaint' 'subs.']	5
#164956	#164956	['#164956' 'biomaterial' 'neuroscience' 'chromatography' '#127414']	5
disinterestedness	disinterestedness	['disinterestedness' '#28836' '#194848' 'propriety' 'elegance']	5
whip	whip	['whip' '#72205' '#72152' '#22307' 'lash']	5
#65911	#65911	['#65911' 'in the meantime' '#67026' '#69312' 'lag']	5
#32881	#32881	['#32881' 'pronunciation' 'place name' '#29371' 'transliteration']	5
#132689	#132689	['#132689' 'kimberlite' '#119246' 'chromite' '#8332']	5
#31092	#31092	['#31092' 'cross-reference' '#213195' '#84034' 'hyperlink']	5
copepod	copepod	['copepod' '#8887' '#8853' 'phytoplankton' 'zooplankton']	5
#41499	#41499	['#41499' 'declining' 'fertility rate' '#60570' 'birth rate']	5
mercantile	mercantile	['mercantile' 'right-of-way' 'merchant ship' '#8815' '#11423']	5
dictatorial	dictatorial	['dictatorial' '#85664' 'despotic' '#97160' '#85286']	5
#26387	#26387	['#26387' 'alveolus' '#26095' 'secretion' 'respiration']	5
wanted	wanted	['wanted' '#95583' 'wanted person' 'gunman' 'murderer']	5
calling card	calling card	['calling card' '#30524' '#280729' '#139213' 'phone card']	5
#18588	#18588	['#18588' 'nylon' 'trammel net' 'scrape' '#19919']	5
#41303	#41303	['#41303' 'anion' 'ketone' 'molecular weight' '#62778']	5
#96679	#96679	['#96679' 'cryogenic' 'orifice' 'actuator' 'wind tunnel']	5
ostrich	ostrich	['ostrich' '#6298' 'llama' '#27164' 'saffron']	5
#151546	#151546	['#151546' 'morphology' '#48988' '#149899' '#115229']	5
fallen	fallen	['fallen' '#81841' '#67516' 'befall' '#73901']	5
#15798	#15798	['#15798' 'electrical contact' '#63304' '#18750' 'diesel engine']	5
industrial	industrial	['industrial' '#37496' '#73180' '#58251' 'commodity']	5
#69795	#69795	['#69795' 'tenacity' 'heroism' 'salute' '#4954']	5
#96198	#96198	['#96198' 'anticancer' 'antioxidant' '#63341' 'monoclonal antibody']	5
sympathy	sympathy	['sympathy' '#34772' '#30526' 'condolence' '#87511']	5
#44461	#44461	['#44461' '#111863' '#29033' 'e-mail' '#29110']	5
scent	scent	['scent' '#27164' '#67490' 'smell' 'incense']	5
protectionism	protectionism	['protectionism' '#46846' 'protectionist' '#30624' '#327029']	5
ancient	ancient	['ancient' '#192343' '#94723' 'ancestor' '#92275']	5
ministerial decree	ministerial decree	['ministerial decree' 'regulating' 'import permit'
 'public transport vehicle' 'gov.']	5
district	district	['district' '#39672' 'village' '#39569' '#24779']	5
provenance	provenance	['provenance' 'precious stone' 'homogeneity' 'jewel' 'amass']	5
#191510	#191510	['#191510' '#191511' '#46130' '#97948' 'diocese']	5
#65173	#65173	['#65173' '#65209' '#33646' 'consume' 'time period']	5
#28126	#28126	['#28126' 'deconstruction' '#149942' 'hardening' 'deconstruct']	5
#192080	#192080	['#192080' 'more than enough' 'thirsty' 'evaporate' 'devour']	5
#38693	#38693	['#38693' 'delegation' '#47006' 'view' 'address']	5
#30106	#30106	['#30106' 'decree nisi' 'bed and board' 'judicial separation' '#5117']	5
#59285	#59285	['#59285' 'square root' '#98192' 'regression analysis' '#28328']	5
get into	get into	['get into' 'pull up' 'get dressed' '#74782' '#168525']	5
#125333	#125333	['#125333' '#28963' '#90875' 'dogma' 'adherent']	5
make the grade	make the grade	['make the grade' '#141292' 'senior high' 'examinee'
 'primary school teacher']	5
#34695	#34695	['#34695' '#115610' 'height' 'weigh' '#22270']	5
legal document	legal document	['legal document' 'legislative act' '#165949' 'stipulation' '#59607']	5
#64978	#64978	['#64978' 'toner' 'ink cartridge' '#14116' 'teleprinter']	5
#158098	#158098	['#158098' 'current' 'decide' 'secretary-general' 'welcome']	5
venture	venture	['venture' '#3188' 'profitable' '#285854' 'value chain']	5
send up	send up	['send up' '#20035' 'illumination' '#48688' '#20519']	5
nucleic acid	nucleic acid	['nucleic acid' '#64485' 'recombinant' '#152702' '#206200']	5
clean energy	clean energy	['clean energy' '#288939' 'green energy' '#312453' 'energy efficiency']	5
photolithography	photolithography	['photolithography' '#30713' 'etching' 'semi-conductor' 'semiconductor']	5
clip	clip	['clip' '#30455' 'video clip' 'animated cartoon' 'pocket-sized']	5
road accident	road accident	['road accident' '#199826' '#61054' 'respiratory disease' '#60902']	5
#149905	#149905	['#149905' '#18058' 'map' 'geographic' '#89574']	5
#197118	#197118	['#197118' 'point of departure' '#97014' 'retrace' 'shape up']	5
free market	free market	['free market' '#125760' '#239215' 'market forces' 'capitalist']	5
#43646	#43646	['#43646' 'ally' 'destabilize' '#67164' '#326872']	5
#61575	#61575	['#61575' 'eyelid' '#61268' '#25560' 'dizziness']	5
laden	laden	['laden' 'drums' '#74740' '#79306' '#20035']	5
self-defense	self-defense	['self-defense' 'self defence' 'self defense' 'cock' 'military man']	5
schoolmaster	schoolmaster	['schoolmaster' '#45448' 'headmaster' 'school principal' '#46261']	5
#18603	#18603	['#18603' 'observatory' 'phenomena' '#73313' '#118931']	5
#310617	#310617	['#310617' '#310618' 'lush' '#310612' '#308649']	5
self-injury	self-injury	['self-injury' '#183704' 'self-harm' 'derangement' '#61926']	5
#24506	#24506	['#24506' 'slowness' '#118569' 'sheer' 'slow up']	5
#200358	#200358	['#200358' '#142718' 'shortly' '#189754' 'in the meantime']	5
#283596	#283596	['#283596' 'tropical cyclone' '#49101' '#48804' 'tropical storm']	5
ethnographic	ethnographic	['ethnographic' '#98629' 'ethnographical' 'anthropological' '#32609']	5
film producer	film producer	['film producer' 'dramatist' 'composer' '#44531' 'scriptwriter']	5
#84184	#84184	['#84184' 'sketchy' '#91242' 'troublesome' 'incompletely']	5
#4064	#4064	['#4064' 'calibration' 'quality control' 'automation' '#2665']	5
delve	delve	['delve' 'infuse' '#1569' '#26748' 'elucidation']	5
#68722	#68722	['#68722' 'base' '#30612' 'principle' 'where']	5
measured	measured	['measured' '#89763' '#150352' 'steady state' '#198581']	5
armrest	armrest	['armrest' '#13052' 'upstairs' '#21065' '#14601']	5
#326298	#326298	['#326298' 'cotton plantation' '#5412' '#326758' '#51789']	5
spaceflight	spaceflight	['spaceflight' '#1246' 'solar physics' '#178766' '#96992']	5
divestiture	divestiture	['divestiture' '#5105' 'price control' '#207' '#30617']	5
amphibian	amphibian	['amphibian' '#78247' '#78246' 'vertebrate' 'mollusc']	5
bedclothes	bedclothes	['bedclothes' '#18118' 'toiletry' '#21669' '#139418']	5
#84071	#84071	['#84071' '#22603' '#28694' 'story' 'exact']	5
#80998	#80998	['#80998' 'air force' 'artillery' 'navy' 'military aircraft']	5
#285259	#285259	['#285259' 'reference point' 'reproducibility' '#59293' '#225511']	5
#58239	#58239	['#58239' 'nuclear fusion' '#62970' '#58238' 'fission']	5
#308668	#308668	['#308668' '#97556' 'hazardous waste' '#129484' '#63964']	5
sexist	sexist	['sexist' '#82935' 'stereotyped' 'stereotypical' '#44255']	5
#68831	#68831	['#68831' '#23293' 'accuracy' 'validate' '#77050']	5
acrylonitrile	acrylonitrile	['acrylonitrile' '#64653' 'copolymer' '#62809' 'styrene']	5
#160374	#160374	['#160374' 'adapter' 'adaptor' 'video card' 'battery charger']	5
herbivorous	herbivorous	['herbivorous' '#83091' '#8679' 'piscivorous' '#8769']	5
#89194	#89194	['#89194' 'illegible' 'handwritten' '#94154' 'unreadable']	5
planted	planted	['planted' '#41853' '#91676' '#179201' '#88093']	5
unilaterally	unilaterally	['#194396' 'unilaterally' '#3879' '#76002' '#176633']	4
#85038	#85038	['#85038' '#92875' '#33400' '#14542' 'cm']	5
uncontested	uncontested	['uncontested' 'undisputed' 'substantiation' '#145693' 'inadvertence']	5
#27530	#27530	['#27530' 'pedagogy' 'teaching method' 'syllabi' 'individuality']	5
#76340	#76340	['#76340' '#71213' 'manipulate' '#98605' '#68360']	5
#98677	#98677	['#98677' 'hydraulic' '#19786' '#15817' 'power system']	5
#186952	#186952	['#186952' 'date of arrival' '#190200' 'embarkation' 'overnight stay']	5
#29785	#29785	['#29785' 'psalm' '#69899' 'magnificence' 'hymn']	5
have sex	have sex	['have sex' 'sexual intercourse' '#202328' 'sexual partner'
 'sexual relation']	5
theft	theft	['theft' '#3162' 'kidnap' '#76309' '#156351']	5
bisexual person	bisexual person	['bisexual person' 'transvestite' 'transsexual' '#88031' 'intersex']	5
endless	endless	['endless' 'interminable' '#81955' 'bog down' '#89396']	5
reveal	reveal	['reveal' '#191818' '#75179' '#223400' '#77970']	5
seminarian	seminarian	['seminarian' '#47253' 'catechist' 'theologian' '#47788']	5
#45815	#45815	['#45815' 'landowner' '#46554' 'lender' 'evict']	5
#305229	#305229	['#305229' 'civil lawsuit' 'miscarriage of justice' '#195348' '#4881']	5
tanker	tanker	['tanker' '#327028' '#136666' '#18634' 'oil tanker']	5
#169696	#169696	['#169696' 'delaying' 'prevarication' 'subterfuge' 'deceitful']	5
#85103	#85103	['#85103' 'determining' 'defining' 'helping' '#30058']	5
#33842	#33842	['#33842' 'easing' 'moderation' 'dampen' '#155656']	5
irradiation	irradiation	['irradiation' '#133262' 'ionize' '#2868' 'neutron']	5
naturalness	naturalness	['naturalness' 'woody' '#180162' 'photosynthetic' '#58338']	5
#4	#4	['#4' 'cell' '#14393' 'container' '#21664']	5
oceanic	oceanic	['oceanic' '#89051' '#48959' '#316751' 'oceanographic']	5
ostensible	ostensible	['ostensible' '#91910' 'fictitious' 'obsession' '#38647']	5
#85407	#85407	['#85407' 'wetland' '#41882' 'conserve' 'protected']	5
#29627	#29627	['#29627' '#3648' 'margin' '#45634' 'in detail']	5
#120867	#120867	['#120867' 'south-east' '#149978' 'outlook' 'north-east']	5
limelight	limelight	['limelight' '#92222' 'excited' '#115004' 'tame']	5
#201997	#201997	['#201997' 'degrader' '#123839' '#23933' 'fog']	5
#4744	#4744	['#4744' 'equality' '#27277' 'disability' '#26']	5
denomination	denomination	['#37783' 'denomination' '#97748' 'protestant' 'creed']	4
#192859	#192859	['#192859' 'in conclusion' '#200523' '#86139' 'tireless']	5
#305073	#305073	['#305073' '#160116' 'bronze medal' 'medallist' 'bronze']	5
butane	butane	['butane' '#63145' '#63171' 'propane' 'kerosene']	5
shaman	shaman	['shaman' '#47465' '#323868' 'herbalist' '#86114']	5
#14379	#14379	['#14379' '#14327' 'tv set' 'cassette player' 'television set']	5
comb	comb	['comb' 'cloth' '#14824' 'blouse' '#71750']	5
reaction	reaction	['reaction' 'quick' '#753' 'powerful' '#87137']	5
#221500	#221500	['#221500' 'skinhead' '#47386' 'right-wing' '#189239']	5
circumstantially	circumstantially	['circumstantially' '#26775' 'become poor' '#47616' 'wandering']	5
hand grenade	hand grenade	['hand grenade' '#16893' '#16744' 'anti-tank' 'grenade']	5
#151659	#151659	['#151659' 'rationality' 'reflex' 'human nature' 'instinct']	5
eggplant	eggplant	['eggplant' '#35741' 'cucurbit' '#35745' '#51916']	5
#141372	#141372	['#141372' 'cutting fluid' 'coolant' 'argon' 'packing material']	5
#13752	#13752	['#13752' 'boomerang' 'stellar' '#19741' '#69311']	5
#149096	#149096	['#149096' 'chauvinism' '#23639' '#91177' 'ethnocentricity']	5
#131626	#131626	['#131626' 'kana' 'lucky' '#20519' 'lovely']	5
#226082	#226082	['#226082' 'polluter' '#311394' '#24585' 'greenhouse emission']	5
psychological science	psychological science	['psychological science' '#28462' 'anthropology' '#28411' 'pediatrics']	5
water quality	water quality	['water quality' '#307060' 'wastewater' 'freshwater' '#143523']	5
building worker	building worker	['building worker' '#178799' 'construction worker' '#155166' 'shopkeeper']	5
geological	geological	['geological' '#97659' '#97673' 'geophysical' 'sampling']	5
#193805	#193805	['#193805' 'edict' 'rite' 'voodoo' '#38013']	5
#85717	#85717	['#85717' 'drinkable' '#68158' 'sewage system' '#22219']	5
burial ground	burial ground	['burial ground' '#41588' 'cave' '#42481' '#18123']	5
reindeer	reindeer	['reindeer' '#11394' 'husbandry' 'cattle' 'hunting']	5
income tax	income tax	['#57374' 'income tax' '#305127' '#47736' 'deduct']	4
#24745	#24745	['#24745' 'overabundance' 'inundate' 'deform' '#66593']	5
#82665	#82665	['#82665' '#37449' 'multilateral' 'deliberation' 'financial institution']	5
concerning	concerning	['concerning' '#216081' 'concerned' 'in particular' '#174630']	5
cleave	cleave	['cleave' '#7' 'genius' 'flesh' 'glow']	5
#39223	#39223	['#39223' 'emirate' '#179940' 'cental' '#84999']	5
merchant vessels	merchant vessels	['merchant vessels' '#20370' 'dhow' 'merchant ship' '#14919']	5
#477	#477	['#477' '#13410' '#43816' 'elbow' '#19842']	5
captivity	captivity	['captivity' '#186847' 'abductee' '#129337' '#86941']	5
#80800	#80800	['#80800' 'molecular weight' 'polyethylene' 'polycarbonate' '#62809']	5
#11911	#11911	['#11911' 'ling' 'grenadier' 'tusk' '#12664']	5
#14405	#14405	['#14405' '#97897' 'centre' '#31130' '#38862']	5
#45265	#45265	['#45265' 'geologist' '#145904' 'geophysicist' '#222999']	5
horseshoe	horseshoe	['horseshoe' '#17172' '#20564' '#59989' 'skylight']	5
#45916	#45916	['#45916' '#69675' '#31100' 'notify' 'merit']	5
#91724	#91724	['#91724' 'foreseeable' 'probability' '#92450' '#89237']	5
#94641	#94641	['#94641' 'susceptible' '#94418' 'risky' '#86440']	5
#153074	#153074	['#153074' 'parson' 'stg.' 'minimax' '#182403']	5
#124196	#124196	['#124196' 'building worker' 'unionize' '#905' '#155166']	5
#75813	#75813	['#75813' 'happen' 'sell' 'succeed' 'hard']	5
layoff	layoff	['layoff' '#870' 'lay-off' '#304856' 'real wage']	5
unearned	unearned	['unearned' '#57384' 'deductible' '#81545' 'increase in value']	5
bring about	bring about	['bring about' 'economic system' 'inevitably' 'wake' '#166828']	5
#62945	#62945	['#62945' 'carbon' '#5178' 'renewable energy' '#48670']	5
#62941	#62941	['#62941' 'bromine' 'halogen' '#64211' 'molecular weight']	5
rib	rib	['rib' '#66514' 'bruise' '#61572' 'wrist']	5
fame	fame	['fame' 'glory' 'genius' 'envy' 'exquisite']	5
cremation	cremation	['cremation' '#145860' '#15099' 'burial site' '#63951']	5
#83949	#83949	['#83949' 'proportionate' '#22612' '#91342' 'proportional']	5
#4445	#4445	['#4445' 'allocation' '#57189' 'aid' '#98370']	5
#98012	#98012	['#98012' '#43162' '#98614' '#6865' '#43358']	5
#30626	#30626	['#30626' 'embargo' 'arms' '#22244' '#173651']	5
#95412	#95412	['#95412' 'reusable' 'recyclable' 'waste product' 'waste material']	5
#47010	#47010	['#47010' 'rescuer' 'saver' 'householder' '#140903']	5
#84563	#84563	['#84563' 'cataclysm' 'rekindle' '#27362' '#27175']	5
